country_m49,country_alpha3,country_name,series_code,goal,applicability,expected_cadence_years,latest_year,observed_years,recent_completeness,staleness,regularity,has_aggregate_slice,disaggregation,nature_counts,global_scarcity,measurement_priority_v1,score_components
356,IND,India,NV_IND_SSIS_NC,9,universal,1,2017,2015;2016;2017,0.0,1.0,1.0,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 3}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SE_DEV_ONTRK,4,universal,3,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SE_TOT_CPLR,4,universal,1,2019,2016;2019,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 324}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SG_CPA_SDEVP,17,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SG_PLN_MSTKSDG_R,17,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SG_PLN_RECNDI,17,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SG_SCP_POLINS,12,universal,1,2019,2019,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 1}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SG_SCP_PROCN,12,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SG_XPD_PR,1,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SH_AAP_ASMORT,3,universal,1,2019,2019,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""estimated"": 1}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SH_FPL_MTMM,3,universal,1,2019,2015;2019,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country_adjusted"": 2}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SH_HLF_EMED,3,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SH_MDD_CHLD,2,universal,1,2020,2020,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country_adjusted"": 1}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SH_STA_FGMS,5,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SH_STA_WASHARI,3,universal,1,2019,2019,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""estimated"": 1}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SH_SUD_ALCOL,3,universal,1,2016,2016,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""unavailable"": 3}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SI_HEI_TOTL,10,universal,3,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SL_EMP_FTLINJUR,8,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SL_EMP_RCOST_MO,10,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SP_DISP_RESOL,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SP_DYN_ADKL,3,universal,1,2020,2015;2016;2017;2018;2019;2020,0.0,1.0,1.0,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 6, ""country_adjusted"": 3}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SP_LGL_LNDSTR,1,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,VC_ARM_SZTRACE,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,VC_PRR_ROBB,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,VC_SNS_WALN_DRK,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,VC_VAW_PHYPYV,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,VC_VOH_SXPH,11,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,VC_VOV_ROBB,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
156,CHN,China,AG_PRD_XSUBDY,2,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,DC_TOF_URBINFRA,11,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,ER_WLD_TRPOACH,15,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,GB_XPD_CULNAT_PB,11,universal,1,2019,2019,0.0,1.0,,True,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 2}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,GF_COM_PPPI,17,universal,1,2020,2015;2016;2017;2018;2019;2020,0.0,1.0,1.0,False,"{""age"": false, ""location"": false, ""sex"": false}","{""global_monitoring"": 6}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,IU_COR_BRIB,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,IU_DMK_INCL,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,NV_IND_SSIS_NC,9,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,NV_IND_TECH,9,universal,1,2018,2015;2016;2017;2018,0.0,1.0,1.0,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country_adjusted"": 4}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,PD_AGR_SSFP,2,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SE_DEV_ONTRK,4,universal,3,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SE_TOT_CPLR,4,universal,1,2020,2016;2018;2020,0.0,1.0,1.0,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 203}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SG_CPA_SDEVP,17,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SG_GEN_EQPWNN,5,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SG_PLN_MSTKSDG_R,17,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SG_PLN_RECNDI,17,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SG_REG_BRTH,16,universal,1,2020,2020,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 2}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SG_SCP_POLINS,12,universal,1,2019,2019,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 2}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SG_XPD_PR,1,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_AAP_ASMORT,3,universal,1,2019,2019,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""estimated"": 1}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_BLD_ECOLI,3,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_FPL_INFM,5,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_FPL_MTMM,3,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_HLF_EMED,3,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_MDD_CHLD,2,universal,1,2017,2017,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country_adjusted"": 1}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_OOP_XPD_EARNNET40,3,universal,1,2018,2018,0.0,1.0,,True,"{""age"": false, ""location"": false, ""sex"": false}","{""global_monitoring"": 8}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_STA_BRTC,3,universal,1,2016,2015;2016,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 2}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_STA_FGMS,5,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_STA_WASHARI,3,universal,1,2019,2019,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""estimated"": 1}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SH_SUD_ALCOL,3,universal,1,2016,2016,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""unavailable"": 3}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SI_AGR_SSFP,2,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SL_EMP_FTLINJUR,8,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SL_EMP_RCOST_MO,10,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SL_TLF_CHLDEA,8,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SP_DISP_RESOL,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SP_DYN_ADKL,3,universal,1,2020,2015;2016;2017;2018;2020,0.0,1.0,0.7427,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 5}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SP_DYN_MRBF18,5,universal,1,2020,2020,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country_adjusted"": 1}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SP_LGL_LNDAGSEC,5,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SP_LGL_LNDSTR,1,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,ST_EMP_TRSMN,8,universal,1,2018,2018,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 1}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,ST_GDP_ZS,8,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_ARM_SZTRACE,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_IHR_PSRC,16,universal,1,2020,2015;2016;2017;2018;2019;2020,0.0,1.0,1.0,True,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 6}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_PRR_ROBB,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_PRS_UNSNT,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_SNS_WALN_DRK,16,universal,1,2020,2019;2020,0.0,1.0,,True,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 6}",1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_VAW_PHYPYV,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_VAW_SXVLN,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_VOH_SXPH,11,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_VOV_ROBB,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
356,IND,India,DI_ILL_IN,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},0.9948,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 0.9948, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,SI_DST_FISP,10,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},0.9948,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 0.9948, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,VC_DSR_CDAN,11,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},0.9948,99.9,"{""completeness_deficit"": 1.0, ""global_scarcity"": 0.9948, ""population_percentile"": 1.0, ""staleness"": 1.0}"
156,CHN,China,DI_ILL_IN,16,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},0.9948,99.79,"{""completeness_deficit"": 1.0, ""global_scarcity"": 0.9948, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SE_ADT_EDUCTRN,4,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},0.9948,99.79,"{""completeness_deficit"": 1.0, ""global_scarcity"": 0.9948, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,SI_DST_FISP,10,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},0.9948,99.79,"{""completeness_deficit"": 1.0, ""global_scarcity"": 0.9948, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
156,CHN,China,VC_DSR_CDAN,11,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},0.9948,99.79,"{""completeness_deficit"": 1.0, ""global_scarcity"": 0.9948, ""population_percentile"": 0.994792, ""staleness"": 1.0}"
840,USA,United States,AG_PRD_XSUBDY,2,universal,1,2015,2015,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 1}",1.0,99.79,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 0.989583, ""staleness"": 1.0}"
